0.0,/s/rings_randomimg_gydo
0.0,/t/rings_randomimg_gydo
0.0,/s/rings_randomimg_max
0.0,/t/rings_randomimg_max
0.2,/s/rings_randomimg_gydo
0.2,/t/rings_randomimg_gydo
0.2,/s/rings_randomimg_max
0.2,/t/rings_randomimg_max
0.4,/s/rings_randomimg_gydo
0.4,/t/rings_randomimg_gydo
0.4,/s/rings_randomimg_max
0.4,/t/rings_randomimg_max
0.6,/s/rings_randomimg_gydo
0.6,/t/rings_randomimg_gydo
0.6,/s/rings_randomimg_max
0.6,/t/rings_randomimg_max
0.8,/s/rings_randomimg_gydo
0.8,/t/rings_randomimg_gydo
0.8,/s/rings_randomimg_max
0.8,/t/rings_randomimg_max
1.0,/s/rings_randomimg_gydo
1.0,/t/rings_randomimg_gydo
1.0,/s/rings_randomimg_max
1.0,/t/rings_randomimg_max
1.2,/s/rings_randomimg_gydo
1.2,/t/rings_randomimg_gydo
1.2,/s/rings_randomimg_max
1.2,/t/rings_randomimg_max
1.4,/s/rings_randomimg_gydo
1.4,/t/rings_randomimg_gydo
1.4,/s/rings_randomimg_max
1.4,/t/rings_randomimg_max